"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"2","C2","1","0.01uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C3","1","2.2uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C4","1","100uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"5","J1","1","Conn_01x03","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",""
"6","J2","1","Conn_01x02","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",""
"7","M1","1","Stepper_Motor_bipolar","x27_Footprint:x27_stepper_two_holes",""
"8","R1, R2","2","0.2Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","R3","1","330Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R4","1","10 kΩ","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"11","U1","1","DRV8833PWR","DRV8833PWR:PW16_TEX-L",""
"12","U2","1","XIAO ESP32C3","GIX_ESP32:XIAO_ESP32",""
