"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3","3","C","",""
"2","D1","1","LED","",""
"3","D2","1","NeoPixel Digital RGB LED","LED_SMD:LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",""
"4","M1","1","Stepper_Motor_bipolar","",""
"5","R1, R2, R3, R4, R5, R6","6","R","",""
"6","S1","1","SWITCH","",""
"7","U1","1","MAX30102","OptoDevice:Maxim_OLGA-14_3.3x5.6mm_P0.8mm",""
"8","U2","1","MOUDLE-SEEEDUINO-XIAO-ESP32C3","MOUDLE14P-SMD-2.54-21X17.8MM",""
"9","U3","1","ULN2003","",""
"10","U4","1","LM317L_SOT-89","Package_TO_SOT_SMD:SOT-89-3",""
